user_id,position,title,link,authors,publication,publication_year,cited_by_count
PT8wxO8AAAAJ,20,Operations on single-valued neutrosophic graphs,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PT8wxO8AAAAJ&pagesize=100&citation_for_view=PT8wxO8AAAAJ:Br1UauaknNIC,"M Akram, G Shahzadi",Infinite Study,2017,111
PT8wxO8AAAAJ,21,Bipolar fuzzy TOPSIS and bipolar fuzzy ELECTRE-I methods to diagnosis,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PT8wxO8AAAAJ&pagesize=100&citation_for_view=PT8wxO8AAAAJ:n1qY4L4uFdgC,"M Akram, Shumaiza, M Arshad","Computational and Applied Mathematics 39, 1-21",2020,110
PT8wxO8AAAAJ,22,A novel decision-making approach under complex Pythagorean fuzzy environment,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PT8wxO8AAAAJ&pagesize=100&citation_for_view=PT8wxO8AAAAJ:OqYjx1B7R3oC,"M Akram, S Naz","Mathematical and Computational Applications 24 (3), 73",2019,110
PT8wxO8AAAAJ,23,Operations on soft graphs,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PT8wxO8AAAAJ&pagesize=100&citation_for_view=PT8wxO8AAAAJ:F9fV5C73w3QC,"M Akram, S Nawaz","Fuzzy information and Engineering 7 (4), 423-449",2015,110
PT8wxO8AAAAJ,24,Risk evaluation in failure modes and effects analysis: hybrid TOPSIS and ELECTRE I solutions with Pythagorean fuzzy information,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PT8wxO8AAAAJ&pagesize=100&citation_for_view=PT8wxO8AAAAJ:kxd3qP2_5uAC,"M Akram, A Luqman, JCR Alcantud","Neural Computing and Applications 33, 5675-5703",2021,109
PT8wxO8AAAAJ,25,Extensions of ELECTRE-I and TOPSIS methods for group decision-making under complex Pythagorean fuzzy environment,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PT8wxO8AAAAJ&pagesize=100&citation_for_view=PT8wxO8AAAAJ:5N-NJrZHaHcC,"M Akram, H Garg, K Zahid","Iranian Journal of Fuzzy Systems 17 (5), 147-164",2020,103
PT8wxO8AAAAJ,26,A novel trapezoidal bipolar fuzzy TOPSIS method for group decision-making,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PT8wxO8AAAAJ&pagesize=100&citation_for_view=PT8wxO8AAAAJ:UY3hNwcQ290C,"M Akram, M Arshad","Group Decision and Negotiation 28, 565-584",2019,97
PT8wxO8AAAAJ,27,An application of single-valued neutrosophic sets in medical diagnosis,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PT8wxO8AAAAJ&pagesize=100&citation_for_view=PT8wxO8AAAAJ:YGhAHpnIhDoC,"G Shahzadi, M Akram, AB Saeid","Neutrosophic sets and systems 18, 80-88",2017,97
PT8wxO8AAAAJ,28,Hesitant fuzzy N-soft sets: A new model with applications in decision-making,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PT8wxO8AAAAJ&pagesize=100&citation_for_view=PT8wxO8AAAAJ:dJ_BR67V0s4C,"M Akram, A Adeel, JCR Alcantud","Journal of Intelligent & Fuzzy Systems 36 (6), 6113-6127",2019,95
PT8wxO8AAAAJ,29,New decision-making hybrid model: intuitionistic fuzzy ,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PT8wxO8AAAAJ&pagesize=100&citation_for_view=PT8wxO8AAAAJ:ef2wPL15CskC,"M Akram, G Ali, JCR Alcantud","Soft Computing 23, 9853-9868",2019,94
PT8wxO8AAAAJ,30,An optimization study based on Dijkstra algorithm for a network with trapezoidal picture fuzzy numbers,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PT8wxO8AAAAJ&pagesize=100&citation_for_view=PT8wxO8AAAAJ:Ui_nyea79ooC,"M Akram, A Habib, JCR Alcantud","Neural Computing and Applications 33 (4), 1329-1342",2021,92
PT8wxO8AAAAJ,31,Decision-making model under complex picture fuzzy Hamacher aggregation operators,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PT8wxO8AAAAJ&pagesize=100&citation_for_view=PT8wxO8AAAAJ:q82PccF7nXcC,"M Akram, A Bashir, H Garg","Computational and Applied Mathematics 39, 1-38",2020,91
PT8wxO8AAAAJ,32,Energy of Pythagorean fuzzy graphs with applications,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PT8wxO8AAAAJ&pagesize=100&citation_for_view=PT8wxO8AAAAJ:xlVdBZVQT58C,"M Akram, S Naz","Mathematics 6 (8), 136",2018,91
PT8wxO8AAAAJ,33,Novel Approach in Decision Making with ,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PT8wxO8AAAAJ&pagesize=100&citation_for_view=PT8wxO8AAAAJ:QI7uKX5mnFEC,"M Akram, N Waseem, P Liu","International Journal of Fuzzy Systems 21, 1117-1129",2019,87
PT8wxO8AAAAJ,34,Correlation between uniaxial compressive strength and point load index for salt-range rocks,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PT8wxO8AAAAJ&pagesize=100&citation_for_view=PT8wxO8AAAAJ:geVfx-PNG5EC,"M Akram, MZA Bakar",Pakistan Journal of Engineering and Applied Sciences,2007,87
PT8wxO8AAAAJ,35,A novel decision-making method based on rough fuzzy information,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PT8wxO8AAAAJ&pagesize=100&citation_for_view=PT8wxO8AAAAJ:4Yq6kJLCcecC,"F Zafar, M Akram","International Journal of Fuzzy Systems 20, 1000-1014",2018,86
PT8wxO8AAAAJ,36,On fuzzy soft graphs,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PT8wxO8AAAAJ&pagesize=100&citation_for_view=PT8wxO8AAAAJ:HIFyuExEbWQC,"M Akram, S Nawaz","Italian journal of pure and applied mathematics 34, 497-514",2015,85
